id,FloodProbability
1117957,0.5520783168178984
1117958,0.4729567822937429
1117959,0.48597451886172605
1117960,0.4595088101708808
1117961,0.4907990427095007
1117962,0.4981779265583518
1117963,0.523411992438308
1117964,0.5355220280162255
1117965,0.5253344444516532
1117966,0.5219936412409418
1117967,0.5093772301826092
1117968,0.460135323628683
1117969,0.4959747165302443
1117970,0.5379786995823745
1117971,0.5830923845753145
1117972,0.49235150342325146
1117973,0.47830512034071915
1117974,0.5135977611629653
1117975,0.5295184947378904
1117976,0.49078892547502656
1117977,0.4604998545394633
1117978,0.4717024419629236
1117979,0.5488993674059085
1117980,0.5052546514017692
1117981,0.5154376054275965
1117982,0.49167834473832067
1117983,0.4801054220459588
1117984,0.47068484118979154
1117985,0.5526187906780314
1117986,0.4918220695406835
1117987,0.5426446238417273
1117988,0.5307759446140705
1117989,0.5232668117584962
1117990,0.5344266385001785
1117991,0.5141158455512949
1117992,0.4377579368727037
1117993,0.5269073915637391
1117994,0.5157483081281552
1117995,0.5365229693124334
1117996,0.45530474646050073
1117997,0.5072000961194041
1117998,0.4635488760080374
1117999,0.5192997302857889
1118000,0.48637396406390476
1118001,0.5029561719442622
1118002,0.47727581991063983
1118003,0.5328080190552745
1118004,0.5874143556516565
1118005,0.47973458396077745
1118006,0.44476471785216615
1118007,0.5564412317071739
1118008,0.42850596227624943
1118009,0.5206773442896697
1118010,0.487780800136185
1118011,0.5151032129818691
1118012,0.5583070829992993
1118013,0.5185106184502438
1118014,0.47990000696913926
1118015,0.5414627955088349
1118016,0.4718475053855232
1118017,0.4628084207660881
1118018,0.4600619064604952
1118019,0.4997536478982153
1118020,0.5058616947818306
1118021,0.5192681617190604
1118022,0.5141729311127964
1118023,0.4494416134170162
1118024,0.5227518067480487
1118025,0.5300997749854485
1118026,0.4451370194326906
1118027,0.47665480122545867
1118028,0.5207126070955718
1118029,0.46825065760262363
1118030,0.48917710867922315
1118031,0.513966310147031
1118032,0.5032196556711874
1118033,0.5378502622290869
1118034,0.4903315580473589
1118035,0.4710111352848926
1118036,0.5354084292566925
1118037,0.5320333314424549
1118038,0.4586034726380439
1118039,0.5022981956012379
1118040,0.525864934972611
1118041,0.5438096444211274
1118042,0.4642449693622077
1118043,0.5529181310107996
1118044,0.5314090547028785
1118045,0.508184964940905
1118046,0.5155210144643152
1118047,0.5291875467403901
1118048,0.5265343932669199
1118049,0.5284335451429393
1118050,0.5622078304096264
1118051,0.4534507770893671
1118052,0.49561691338536845
1118053,0.4954871115043815
1118054,0.46575638585211404
1118055,0.47591137545377254
1118056,0.5087360733990801
1118057,0.5713948469464871
1118058,0.5078474150971775
1118059,0.5044854570331886
1118060,0.4750813718191634
1118061,0.494831480804109
1118062,0.4770804759657223
1118063,0.4865796795017736
1118064,0.5111277432728144
1118065,0.5110717576267815
1118066,0.509973478585005
1118067,0.5060804773417633
1118068,0.47267528484249993
1118069,0.5319968815451229
1118070,0.6250475007930921
1118071,0.5054985999306358
1118072,0.5492062579634089
1118073,0.49426560089482174
1118074,0.5519848119866366
1118075,0.4535383941680596
1118076,0.5039835885169788
1118077,0.48078838037449534
1118078,0.4042176391226987
1118079,0.4821182090431335
1118080,0.5163633758547108
1118081,0.5275789582951247
1118082,0.5002438798765826
1118083,0.5377083596350856
1118084,0.5232064520299154
1118085,0.4483606715447826
1118086,0.5524532732962647
1118087,0.4733143088034679
1118088,0.5201641839220833
1118089,0.5106430250928605
1118090,0.47904900120187277
1118091,0.5112699491414956
1118092,0.5155703672823566
1118093,0.48708299260416626
1118094,0.5190733632759034
1118095,0.4807132943500742
1118096,0.5538127645348536
1118097,0.4722792729073106
1118098,0.5090095501753455
1118099,0.5237875778384614
1118100,0.5276304960747961
1118101,0.4767045721587211
1118102,0.5551820753641257
1118103,0.5324856098153172
1118104,0.5459553334100827
1118105,0.4992115030323744
1118106,0.49493810632375385
1118107,0.49576408981391906
1118108,0.46698663960931774
1118109,0.5174225882496329
1118110,0.5137563731340181
1118111,0.5644877741719088
1118112,0.5277221131086411
1118113,0.5089791684730368
1118114,0.5192177826289609
1118115,0.5147299536564692
1118116,0.5498602169359298
1118117,0.46731681827774596
1118118,0.5255767622912403
1118119,0.5310677249663361
1118120,0.5310860583251608
1118121,0.4741748895469404
1118122,0.5208444600820681
1118123,0.4485607673956127
1118124,0.5408792089146557
1118125,0.5242247896252429
1118126,0.5094901581235652
1118127,0.5092556125517946
1118128,0.41454805765569613
1118129,0.44554691690621695
1118130,0.48870273954139054
1118131,0.5476607883389426
1118132,0.5127442244107856
1118133,0.513036746405368
1118134,0.5145744638129585
1118135,0.5616734677193109
1118136,0.4821285051804867
1118137,0.528023834148832
1118138,0.49887758628687723
1118139,0.5279234619318671
1118140,0.4720826252387106
1118141,0.47167626186341916
1118142,0.4714552639847465
1118143,0.503920407485294
1118144,0.47885024430083906
1118145,0.4645259257863592
1118146,0.5239515997444681
1118147,0.5383993321333083
1118148,0.5582210416772526
1118149,0.5198397348734118
1118150,0.4587589398266135
1118151,0.5047755187471056
1118152,0.5155141003608651
1118153,0.4876856623454427
1118154,0.4941470583253843
1118155,0.5078964580316228
1118156,0.49884265964367797
1118157,0.5049077644092735
1118158,0.49537624862236607
1118159,0.47278512382605725
1118160,0.47820488860167865
1118161,0.48068279366580596
1118162,0.5028409556750283
1118163,0.4997530675624699
1118164,0.4677529661526372
1118165,0.5439745497963648
1118166,0.5039109584291972
